[2020-12-02 13:57:54] This is codeql database create codeql-db --language=java --source-root . -c ./gradlew -Dorg.gradle.caching=false --no-daemon -S clean assembleDebug
[2020-12-02 13:57:54] Log file was started late.
[2020-12-02 13:57:54] [PROGRESS] database create> Running command [./gradlew, -Dorg.gradle.caching=false, --no-daemon, -S, clean, assembleDebug] in /media/data/muse2/muse2repo_carreport/src_code/carreport-mutant2.
[2020-12-02 13:57:54] Running plumbing command: codeql database trace-command --working-dir=/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant2 -- /media/data/muse2/muse2repo_carreport/src_code/carreport-mutant2/codeql-db ./gradlew -Dorg.gradle.caching=false --no-daemon -S clean assembleDebug
[2020-12-02 13:57:54] [PROGRESS] database trace-command> /media/data/muse2/muse2repo_carreport/src_code/carreport-mutant2/codeql-db: Running in /media/data/muse2/muse2repo_carreport/src_code/carreport-mutant2: [./gradlew, -Dorg.gradle.caching=false, --no-daemon, -S, clean, assembleDebug]
[2020-12-02 13:57:54] Setting up tracing from specification at /media/data/nacoop/codeql-home/codeql/java/tools/compiler-tracing.spec.
[2020-12-02 13:57:54] Picked up extra JVM args: '-javaagent:/media/data/nacoop/codeql-home/codeql/java/tools/codeql-java-agent.jar=ignore-project,java' '-Xbootclasspath/a:/media/data/nacoop/codeql-home/codeql/java/tools/codeql-java-agent.jar'
[2020-12-02 13:57:54] [build-err] Picked up _JAVA_OPTIONS: -Xms512m -Xmx1024m
[2020-12-02 13:57:54] [build] To honour the JVM settings for this build a new JVM will be forked. Please consider using the daemon: https://docs.gradle.org/4.10.1/userguide/gradle_daemon.html.
[2020-12-02 13:57:56] [build] Daemon will be stopped at the end of the build stopping after processing
[2020-12-02 13:58:04] [build] > Task :app:clean
[2020-12-02 13:58:04] [build] > Transform lifecycle-viewmodel.aar (androidx.lifecycle:lifecycle-viewmodel:2.0.0) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform constraintlayout-solver.jar (androidx.constraintlayout:constraintlayout-solver:2.0.0-alpha2) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform okio.jar (com.squareup.okio:okio:1.14.0) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform annotation.jar (androidx.annotation:annotation:1.0.0) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform core-common.jar (androidx.arch.core:core-common:2.0.0) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform joda-time-no-tzdb.jar (joda-time:joda-time:2.9.9) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform lifecycle-common.jar (androidx.lifecycle:lifecycle-common:2.0.0) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform annotation.jar (androidx.annotation:annotation:1.0.0) with IdentityTransform
[2020-12-02 13:58:04] [build] > Transform lifecycle-runtime.aar (androidx.lifecycle:lifecycle-runtime:2.0.0) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform core-common.jar (androidx.arch.core:core-common:2.0.0) with IdentityTransform
[2020-12-02 13:58:04] [build] > Transform lifecycle-common.jar (androidx.lifecycle:lifecycle-common:2.0.0) with IdentityTransform
[2020-12-02 13:58:04] [build] > Transform lifecycle-viewmodel.aar (androidx.lifecycle:lifecycle-viewmodel:2.0.0) with ExtractAarTransform
[2020-12-02 13:58:04] [build] > Transform constraintlayout-solver.jar (androidx.constraintlayout:constraintlayout-solver:2.0.0-alpha2) with IdentityTransform
[2020-12-02 13:58:04] [build] > Transform interpolator.aar (androidx.interpolator:interpolator:1.0.0) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform okio.jar (com.squareup.okio:okio:1.14.0) with IdentityTransform
[2020-12-02 13:58:04] [build] > Transform print.aar (androidx.print:print:1.0.0) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform lifecycle-runtime.aar (androidx.lifecycle:lifecycle-runtime:2.0.0) with ExtractAarTransform
[2020-12-02 13:58:04] [build] > Transform localbroadcastmanager.aar (androidx.localbroadcastmanager:localbroadcastmanager:1.0.0) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform documentfile.aar (androidx.documentfile:documentfile:1.0.0) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform core-runtime.aar (androidx.arch.core:core-runtime:2.0.1-alpha01) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform interpolator.aar (androidx.interpolator:interpolator:1.0.0) with ExtractAarTransform
[2020-12-02 13:58:04] [build] > Transform print.aar (androidx.print:print:1.0.0) with ExtractAarTransform
[2020-12-02 13:58:04] [build] > Transform joda-time-no-tzdb.jar (joda-time:joda-time:2.9.9) with IdentityTransform
[2020-12-02 13:58:04] [build] > Transform documentfile.aar (androidx.documentfile:documentfile:1.0.0) with ExtractAarTransform
[2020-12-02 13:58:04] [build] > Transform localbroadcastmanager.aar (androidx.localbroadcastmanager:localbroadcastmanager:1.0.0) with ExtractAarTransform
[2020-12-02 13:58:04] [build] > Transform lifecycle-viewmodel.aar (androidx.lifecycle:lifecycle-viewmodel:2.0.0) with AarCompileClassesTransform
[2020-12-02 13:58:04] [build] > Transform lifecycle-runtime.aar (androidx.lifecycle:lifecycle-runtime:2.0.0) with AarCompileClassesTransform
[2020-12-02 13:58:04] [build] > Transform core-runtime.aar (androidx.arch.core:core-runtime:2.0.1-alpha01) with ExtractAarTransform
[2020-12-02 13:58:04] [build] > Transform lifecycle-livedata-core.aar (androidx.lifecycle:lifecycle-livedata-core:2.0.0) with JetifyTransform
[2020-12-02 13:58:04] [build] > Transform lifecycle-livedata-core.aar (androidx.lifecycle:lifecycle-livedata-core:2.0.0) with ExtractAarTransform
[2020-12-02 13:58:04] [build] > Transform core-runtime.aar (androidx.arch.core:core-runtime:2.0.1-alpha01) with AarCompileClassesTransform
[2020-12-02 13:58:04] [build] > Transform documentfile.aar (androidx.documentfile:documentfile:1.0.0) with AarCompileClassesTransform
[2020-12-02 13:58:04] [build] > Transform print.aar (androidx.print:print:1.0.0) with AarCompileClassesTransform
[2020-12-02 13:58:04] [build] > Transform sqlite.aar (androidx.sqlite:sqlite:2.0.0) with JetifyTransform
